text,label,type
"Alo, thẻ lỗi chip rồi, ra cây ATM nó nhả ra hoài bực ghê",CARD_ISSUE,seed
"Thẻ ko quẹt dc nữa, hư chip rồi add ơi",CARD_ISSUE,seed
"Thẻ chip bị lỗi, làm sao lấy tiền bây giờ",CARD_ISSUE,seed
"Thẻ của tui ko ăn chip nữa, tk lại làm j",CARD_ISSUE,seed
"Thẻ chip bị toang, dùng ko dc nữa",CARD_ISSUE,seed
"Thẻ hỏng chip, đổi thẻ mới dc không",CARD_ISSUE,seed
"Thẻ chip lỗi, ra ngân hàng làm cái j",CARD_ISSUE,seed
"Thẻ của mình chip bị ngỏm, bực quá",CARD_ISSUE,seed
"Thẻ ko quẹt chip dc, cần hỗ trợ gấp lắm",CARD_ISSUE,seed
"Thẻ chip bị hư, làm sao lấy tiền huhu",CARD_ISSUE,seed
"Thẻ của mình bị lỗi chip, vs hỗ trợ nhé",CARD_ISSUE,seed
"Thẻ chip bị trầy, dùng ko dc add ơi",CARD_ISSUE,seed
"Thẻ của tui ko dc quẹt chip, cần giúp đỡ",CARD_ISSUE,seed
"Thẻ chip bị hỏng, cần thay thẻ mới gấp",CARD_ISSUE,seed
"Thẻ của mình chip ko ăn, làm sao bây giờ",CARD_ISSUE,seed
"Thẻ bị lỗi chip, cần hỗ trợ ngay",CARD_ISSUE,seed
"Thẻ chip bị bong, làm sao sử dụng",CARD_ISSUE,seed
"Thẻ của tui chip bị lỗi, cần giúp đỡ gấp lắm",CARD_ISSUE,seed
"Thẻ mới mở tk chưa nhận được thẻ cứng, sao vậy ad?",CARD_ISSUE,seed
"Mở thẻ online từ hôm trước vẫn chưa nhận được, huhu",CARD_ISSUE,seed
"Thẻ atm bị lỗi, nhập mã pin ko dc, bực quá",CARD_ISSUE,seed
"Đợi chờ quá lâu, chưa thấy thẻ cứng về, alo add ơi",CARD_ISSUE,seed
"Thẻ bị hỏng không đọc dc, gửi lại thẻ mới cho e",CARD_ISSUE,seed
"Thẻ tk chưa về, cần gấp lắm để đi công tác",CARD_ISSUE,seed
"Sao thẻ chưa tới tay, đang cần kí hợp đồng gấp",CARD_ISSUE,seed
"Thẻ mới k dc, nhập thông tin ko thành công, ngỏm",CARD_ISSUE,seed
"Thẻ cứng chưa nhận được, có thể kiểm tra giúp e",CARD_ISSUE,seed
"Tạo thẻ từ hôm qua, đến giờ chưa thấy, tk lỗi",CARD_ISSUE,seed
"Thẻ bị hư không sử dụng dc, gửi lại cho e nhé",CARD_ISSUE,seed
"Thẻ mới bị toang, không quẹt dc, đổi mới 1 cái",CARD_ISSUE,seed
"Thẻ atm mới mở chưa về, đang cần để rút tiền",CARD_ISSUE,seed
"Sao e chưa nhận được thẻ cứng, có thể hỗ trợ ko",CARD_ISSUE,seed
"Thẻ bị lỗi từ đầu, không sử dụng dc, bực quá",CARD_ISSUE,seed
"Thẻ chưa về, cần nhanh để làm việc, alo ad",CARD_ISSUE,seed
"Thẻ online chưa nhận được, có vấn đề gì ko",CARD_ISSUE,seed
"Thẻ mới ko ăn, có thể kiểm tra lại thông tin",CARD_ISSUE,seed
"Thẻ bị lỗi kỹ thuật, không hoạt động dc, huhu",CARD_ISSUE,seed
"Thẻ tk mới chưa nhận, có thể gửi lại cho e",CARD_ISSUE,seed
"Thẻ ko ăn rồi, đem đi sửa dc không?",CARD_ISSUE,seed
"Huhu, thẻ bị hỏng chip, cần làm j để sửa?",CARD_ISSUE,seed
"Thẻ chip ko quẹt dc, bực quá, add ơi",CARD_ISSUE,seed
"Cứ đưa thẻ vào thì nó ko đọc, lỗi j vậy?",CARD_ISSUE,seed
"Thẻ tk của mình bị ngỏm chip, vs gì bây giờ?",CARD_ISSUE,seed
"Thẻ dc phát hành mới mà đã bị lỗi chip, đổi mới dc không?",CARD_ISSUE,seed
"Thẻ có vấn đề về chip, ko dc sử dụng, làm sao?",CARD_ISSUE,seed
"Thẻ của tớ bị hư chip, cần phải làm gì để sửa?",CARD_ISSUE,seed
"Thẻ chip nó bị lồi, ko dc quẹt, bực thật",CARD_ISSUE,seed
"Gặp vấn đề với thẻ chip, ko dc quẹt, cần hỗ trợ",CARD_ISSUE,seed
"Thẻ bị toang chip, ko biết phải làm sao",CARD_ISSUE,seed
"Thẻ bị lỗi về phần chip, đưa đi sửa dc không?",CARD_ISSUE,seed
"Thẻ của mình ko dc quẹt, do chip bị hỏng",CARD_ISSUE,seed
"Thẻ mới mua mà chip đã bị hỏng, đổi mới dc không?",CARD_ISSUE,seed
"Thẻ bị hỏng chip, cảm ơi là bực",CARD_ISSUE,seed
"Thẻ ko quẹt dc vì chip bị lỗi, cần xử lý ngay",CARD_ISSUE,seed
"Thẻ chip bị mòn, ko dc quẹt, tìm cách sửa",CARD_ISSUE,seed
"Thẻ hư, quên mã PIN rồi ad ơi",CARD_ISSUE,seed
"Lỗi thẻ, ko rút dc tiền huhu",CARD_ISSUE,seed
"Ngỏm quá, thẻ ko hoạt động",CARD_ISSUE,seed
"Toang hết, quên mã PIN luôn",CARD_ISSUE,seed
"Alo add, thẻ lỗi quẹt ko dc",CARD_ISSUE,seed
Thẻ chip bị trầy xước tùm lum ko quẹt dc,CARD_ISSUE,seed
"Thẻ atm bị hư, làm sao để lấy lại mã PIN",CARD_ISSUE,seed
"Bực quá, thẻ ko dc rút tiền",CARD_ISSUE,seed
"Lại lỗi thẻ, k dc lấy tiền",CARD_ISSUE,seed
"Thẻ tk bị khóa, mở lại thế nào",CARD_ISSUE,seed
"Gấp lắm, cần rút tiền nhưng quên mã PIN",CARD_ISSUE,seed
"Thẻ vs bị lỗi, làm sao để sửa",CARD_ISSUE,seed
"Alo, thẻ của tớ bị toang, cần hỗ trợ",CARD_ISSUE,seed
"Thẻ atm lỗi, ko rút tiền dc",CARD_ISSUE,seed
"Huhu, quên mã PIN, cần giúp đỡ",CARD_ISSUE,seed
"Add ơi, thẻ tk bị lỗi, cần đổi mới",CARD_ISSUE,seed
"Thẻ bị hư, cần thay mới gấp",CARD_ISSUE,seed
"Ko dc lấy tiền, thẻ bị lỗi chip",CARD_ISSUE,seed
"Thẻ ATM bị kẹt rồi, làm sao lấy lại",CARD_ISSUE,seed
"Cái thẻ nó bị nuốt rồi, huhu giờ làm sao",CARD_ISSUE,seed
"Thẻ bị lỗi, ko rút dc tiền",CARD_ISSUE,seed
"Add ơi, thẻ bị k dc, lỗi quá",CARD_ISSUE,seed
"Thẻ tk bị hỏng, cần hỗ trợ gấp lắm",CARD_ISSUE,seed
"Thẻ atm bị ngỏm, bực quá",CARD_ISSUE,seed
"Thẻ của tớ bị toang, ko ăn, làm sao",CARD_ISSUE,seed
"Thẻ bị hư, dc hỗ trợ vs",CARD_ISSUE,seed
"Thẻ bị kẹt máy, Alo hỗ trợ",CARD_ISSUE,seed
"Thẻ bị lỗi kỹ thuật, cần giúp",CARD_ISSUE,seed
"Thẻ bị nuốt, t cần hỗ trợ ngay",CARD_ISSUE,seed
"Thẻ atm bị lỗi, t k rút dc tiền",CARD_ISSUE,seed
"Thẻ tk bị hỏng, add hỗ trợ dc ko",CARD_ISSUE,seed
"Thẻ bị hư hỏng, cần thay mới",CARD_ISSUE,seed
"Thẻ atm bị k dc, t cần hỗ trợ",CARD_ISSUE,seed
"Thẻ bị lỗi, ko thực hiện dc giao dịch",CARD_ISSUE,seed
"Thẻ bị nuốt, t cần lấy lại",CARD_ISSUE,seed
"Thẻ atm bị hỏng, cần hỗ trợ ngay",CARD_ISSUE,seed
"Thẻ tk bị lỗi, cần hỗ trợ gấp",CARD_ISSUE,seed
"Thẻ bị k dc, t cần hỗ trợ vs",CARD_ISSUE,seed
Mất thẻ cần khóa gấp ạ,CARD_ISSUE,seed
Thẻ bị hư mất hết thông tin,CARD_ISSUE,seed
"alo ad ơi, thẻ ko quẹt dc",CARD_ISSUE,seed
Thẻ atm của em bị lỗi,CARD_ISSUE,seed
Thẻ bị ngỏm không lấy dc tiền,CARD_ISSUE,seed
Thẻ của tớ bị toang rồi cần khóa gấp lắm,CARD_ISSUE,seed
tk thẻ bị hỏng không sử dụng dc,CARD_ISSUE,seed
Bị mất thẻ cần hỗ trợ khóa thẻ gấp,CARD_ISSUE,seed
Thẻ atm bị kẹt trong máy tự nhiên,CARD_ISSUE,seed
Thẻ của mk ko dc sử dụng,CARD_ISSUE,seed
"huhu, thẻ của em bị lỗi chip",CARD_ISSUE,seed
Thẻ bị lỗi không hoạt động,CARD_ISSUE,seed
Thẻ bị mất hết thông tin cần làm lại,CARD_ISSUE,seed
Thẻ atm của tớ bị hỏng vs cần giúp đỡ,CARD_ISSUE,seed
Thẻ ko quẹt dc cần hỗ trợ ad ơi,CARD_ISSUE,seed
Thẻ của mk bị lỗi không vào dc hệ thống,CARD_ISSUE,seed
Thẻ bị hư hỏng không sử dụng dc,CARD_ISSUE,seed
Bị mất thẻ cần khóa ngay lập tức,CARD_ISSUE,seed
Thẻ atm ko hoạt động cần hỗ trợ gấp,CARD_ISSUE,seed
Thẻ bị lỗi không lấy dc tiền,CARD_ISSUE,seed
Thẻ bị khóa vì nhập nhầm quá nhiều lần huhu,CARD_ISSUE,seed
"Alo ad, thẻ bị lỗi ko vào dc",CARD_ISSUE,seed
Thẻ tk tôi bị khóa do nhập sai mk quá 3 lần,CARD_ISSUE,seed
"Thẻ atm bị khóa vì nhập sai mã pin, alo add",CARD_ISSUE,seed
"Thẻ của tôi bị khóa, nhập sai 3 lần rồi",CARD_ISSUE,seed
"Bị khóa thẻ vì nhập sai, bực quá",CARD_ISSUE,seed
"Thẻ bị khóa vì nhập mk sai quá nhiều, gấp lắm",CARD_ISSUE,seed
"Thẻ tk bị khóa, nhập sai mật khẩu, ko dc",CARD_ISSUE,seed
"Alo, thẻ atm bị khóa vì nhập nhầm mk",CARD_ISSUE,seed
"Thẻ bị khóa vì nhập sai, cần hỗ trợ gấp",CARD_ISSUE,seed
Thẻ của tôi bị khóa do nhập sai thông tin,CARD_ISSUE,seed
"Bị khóa thẻ atm, nhập sai mã pin, vs ad ơi",CARD_ISSUE,seed
"Thẻ bị khóa vì nhập sai quá 3 lần, hư rồi",CARD_ISSUE,seed
"Thẻ tk bị khóa, nhập sai mật khẩu, toang",CARD_ISSUE,seed
"Thẻ atm bị khóa vì nhập sai, ko ăn dc",CARD_ISSUE,seed
"Alo ad, thẻ bị khóa vì nhập sai mk",CARD_ISSUE,seed
"Thẻ bị khóa do nhập sai, cần hỗ trợ ngay",CARD_ISSUE,seed
Thẻ của tôi bị khóa vì nhập sai quá nhiều lần,CARD_ISSUE,seed
"Bị khóa thẻ vì nhập sai, cần giúp đỡ gấp lắm",CARD_ISSUE,seed
"Thẻ bị khóa vì nhập sai, ngỏm quá, alo ad ơi",CARD_ISSUE,seed
Thẻ_chip_bị_lỗi_ngỏm_toang_ko_quẹt_dc,CARD_ISSUE,seed
"Huhu,thẻ_atm_của_tôihư_lắm_ko_dc_rút_tiền",CARD_ISSUE,seed
"Tự_nhiên_chip_thẻ_bị_bong_ra_rồi,phải_làm_sao_ad?",CARD_ISSUE,seed
"Alo_ad_ơi,thẻ_ko_ăn_chip_nữa_gấp_lắm",CARD_ISSUE,seed
Thẻ_atm_bị_lỗi_ko_dc_rút_tiền_bực_quá,CARD_ISSUE,seed
Chim_của_tôi_bị_lỗi_ngỏm_toang_ko_dc_sử_dụng,CARD_ISSUE,seed
Tôicần_thẻ_mới_vì_thẻ_cũ_hư_lắm_ko_dc,CARD_ISSUE,seed
Thẻ_của_tôibị_lỗi_chip_ko_quẹt_dc_alo_ad,CARD_ISSUE,seed
Hỏi_thẻ_atm_bị_hư_làm_sao_phải_làm,CARD_ISSUE,seed
Thẻ_ko_dc_rút_tiền_tự_nhiên_bị_lỗi_chip,CARD_ISSUE,seed
"Alo,thẻ_bị_lỗi_ko_dc_sử_dụng_gấp_lắm_tôicần_hỗ_trợ",CARD_ISSUE,seed
Thẻ_atm_hư_lắm_ko_dc_rút_tiền_phải_làm_sao,CARD_ISSUE,seed
Tôibị_lỗi_thẻ_atm_ngỏm_toang_ko_dc_sử_dụng,CARD_ISSUE,seed
Thẻ_của_tôibị_hư_lắm_ko_dc_phải_làm_sao_ad_ơi,CARD_ISSUE,seed
"Alo_ad_ơi,tôicần_hỗ_trợ_thẻ_atm_bị_lỗi_chip",CARD_ISSUE,seed
Tôihư_thẻ_atm_lắm_ko_dc_rút_tiền_bực_quá,CARD_ISSUE,seed
Thẻ_atm_ko_dc_sử_dụng_tự_nhiên_bị_lỗi_chip,CARD_ISSUE,seed
Thẻ_atm_của_tôibị_lỗi_ngỏm_toang_ko_dc_alo_ad,CARD_ISSUE,seed
Tôicần_thẻ_mới_làm_sao_vì_thẻ_cũ_hư_lắm_ko_dc,CARD_ISSUE,seed
"Alo,tôibị_lỗi_thẻ_atm_ko_quẹt_dc_gấp_lắm",CARD_ISSUE,seed
"Thẻ bị nuốt rồi, làm j cả ngày alo ad ơi",CARD_ISSUE,seed
"Máy atm nó nuốt thẻ tao luôn, hư quá",CARD_ISSUE,seed
"Thẻ tk bị kẹt trong máy, bực quá",CARD_ISSUE,seed
"Đi rút tiền thẻ bị ngọm luôn, toang cả ngày",CARD_ISSUE,seed
"Thẻ chip bị lỗi, ko ăn thẻ ad ơi",CARD_ISSUE,seed
"Alo, thẻ bị atm nuốt, đổi tk mới dc không",CARD_ISSUE,seed
"Thẻ bị k dc, lỗi chip, làm j cả ngày",CARD_ISSUE,seed
"Thẻ của tao bị atm kẹt, huhu quá",CARD_ISSUE,seed
"Thẻ bị trầy xước, ko dc quẹt, add ơi",CARD_ISSUE,seed
"Thẻ atm bị lỗi, t cần thay tk mới gấp lắm",CARD_ISSUE,seed
"T vừa đi rút tiền, thẻ bị kẹt luôn, bực quá",CARD_ISSUE,seed
"Thẻ bị atm nuốt, cần hỗ trợ vs gấp",CARD_ISSUE,seed
"Thẻ chip bị hỏng, ko dc sử dụng, alo ad",CARD_ISSUE,seed
"Thẻ atm của tao bị lỗi, cần hỗ trợ ngay",CARD_ISSUE,seed
"Thẻ bị kẹt trong máy atm, dc hỗ trợ j?",CARD_ISSUE,seed
"Thẻ bị atm nuốt, cần đổi tk mới dc không ad?",CARD_ISSUE,seed
"Thẻ bị lỗi, ko rút dc tiền, bực quá",CARD_ISSUE,seed
"Thẻ tk bị lỗi, cần hỗ trợ gấp lắm ad ơi",CARD_ISSUE,seed
"Thẻ atm bị hỏng, ko dc sử dụng, huhu",CARD_ISSUE,seed
"Thẻ bị kẹt atm, cần hỗ trợ ngay vs",CARD_ISSUE,seed
"Thẻ bị khóa rồi, nhập mã sai quá nhiều lần",CARD_ISSUE,seed
"Huhu, thẻ atm bị khóa, làm gì bây giờ",CARD_ISSUE,seed
"Lỗi nhập sai mk, thẻ bị khóa dc rồi",CARD_ISSUE,seed
"Alo ad ơi, thẻ bị khóa do nhập sai quá",CARD_ISSUE,seed
"Thẻ bị khóa, nhập sai mk, dc hỗ trợ ko",CARD_ISSUE,seed
"Bị khóa thẻ atm, nhập sai mk quá nhiều",CARD_ISSUE,seed
"Thẻ bị khóa, nhập sai, bực quá",CARD_ISSUE,seed
"Gấp lắm, thẻ bị khóa, nhập sai mk",CARD_ISSUE,seed
"Thẻ atm lỗi, nhập sai mk, ko dc",CARD_ISSUE,seed
"Thẻ bị khóa, nhập sai mk, tk ad ơi",CARD_ISSUE,seed
"Hỏi ad, thẻ atm bị khóa nhập sai mk",CARD_ISSUE,seed
"Ko ăn nhập, thẻ atm bị khóa",CARD_ISSUE,seed
"Toang, thẻ atm bị khóa nhập sai",CARD_ISSUE,seed
"Thẻ atm bị khóa, nhập sai, cần hỗ trợ",CARD_ISSUE,seed
"Thẻ atm lỗi, nhập sai mk, add ơi",CARD_ISSUE,seed
"Thẻ bị khóa, nhập sai quá nhiều, vs ad",CARD_ISSUE,seed
"Thẻ atm bị khóa, nhập sai, huhu",CARD_ISSUE,seed
"Thẻ atm lỗi, nhập sai, dc hỗ trợ ko",CARD_ISSUE,seed
"Thẻ atm bị khóa, nhập sai mk, bực quá",CARD_ISSUE,seed
"Thẻ atm bị khóa, nhập sai, alo ad ơi",CARD_ISSUE,seed
"Thẻ bị khóa do nhập sai mã pin quá nhiều lần, hư rồi",CARD_ISSUE,seed
"Lỗi nhập sai mk thẻ, bây giờ ko vào dc",CARD_ISSUE,seed
"Tk thẻ bị khóa, ngỏm quá, làm sao mở lại",CARD_ISSUE,seed
"Thẻ atm của tui bị khóa, toang vl, cần hỗ trợ gấp",CARD_ISSUE,seed
"Nhập sai mật khẩu thẻ 3 lần, bây giờ ko đc",CARD_ISSUE,seed
"Thẻ của t đang bị khóa, alo ad ơi, giúp vs",CARD_ISSUE,seed
"Mk thẻ bị khóa do nhập sai quá nhiều, huhu, làm sao mở",CARD_ISSUE,seed
"Thẻ của mk bị lỗi, ko quẹt dc, cần thay thế",CARD_ISSUE,seed
"Tự nhiên thẻ bị khóa, ko biết phải làm sao",CARD_ISSUE,seed
"Thẻ atm bị khóa do sai mk, bực quá, cần hỗ trợ",CARD_ISSUE,seed
"Thẻ của t bị hư, ko sử dụng dc, cần hỗ trợ gấp lắm",CARD_ISSUE,seed
"Nhập sai mk 3 lần, thẻ bị khóa, k dc sử dụng",CARD_ISSUE,seed
"Thẻ atm của t bị khóa, cần hỗ trợ để mở lại",CARD_ISSUE,seed
"Lỗi thẻ, ko vào dc, cần thay thế mới",CARD_ISSUE,seed
"Thẻ bị khóa, mk bị lỗi, cần hỗ trợ gấp",CARD_ISSUE,seed
"Thẻ atm của t ko hoạt động, cần kiểm tra gấp",CARD_ISSUE,seed
"Thẻ bị khóa, cần hỗ trợ mở lại để sử dụng",CARD_ISSUE,seed
"Thẻ của t bị khóa do nhập sai, cần hỗ trợ ngay",CARD_ISSUE,seed
"Thẻ atm bị lỗi, cần thay thế để tiếp tục sử dụng",CARD_ISSUE,seed
"Thẻ bị khóa, cần hỗ trợ để mở lại và sử dụng",CARD_ISSUE,seed
Thẻ mới làm chưa thấy đâu,CARD_ISSUE,seed
"Alo add ơi, thẻ chưa về chưa",CARD_ISSUE,seed
"Hư thẻ rồi, làm lại thế nào",CARD_ISSUE,seed
"Lỗi thẻ gì thế, ko rút dc tiền",CARD_ISSUE,seed
Thẻ chưa gửi đến tay mình,CARD_ISSUE,seed
"Gấp lắm, chưa nhận thẻ mới",CARD_ISSUE,seed
"Ngỏm quá, thẻ bị lỗi",CARD_ISSUE,seed
"Toang hết, thẻ ko hoạt động",CARD_ISSUE,seed
"Ko ăn thua, thẻ mới bị hỏng",CARD_ISSUE,seed
"Thẻ chưa về, bực quá",CARD_ISSUE,seed
"Huhu, làm thẻ mới quá lâu",CARD_ISSUE,seed
"Thẻ tk bị lỗi, làm lại dc ko",CARD_ISSUE,seed
"Vs thẻ mới bị hư, đổi lại thế nào",CARD_ISSUE,seed
"K dc, thẻ mới chưa nhận",CARD_ISSUE,seed
"Add ơi, thẻ mới bị lỗi chip",CARD_ISSUE,seed
"Thẻ mới chưa về, cần gấp lắm",CARD_ISSUE,seed
"Thẻ bị trầy xước, có đổi lại dc ko",CARD_ISSUE,seed
"Lỗi thẻ rồi, cần hỗ trợ gấp",CARD_ISSUE,seed
"Ko rút dc tiền, thẻ bị lỗi",CARD_ISSUE,seed
"Thẻ mới chưa nhận, bực quá",CARD_ISSUE,seed
"Thẻ bị hư PIN, alo add ơi",CARD_ISSUE,seed
"Mã PIN quên hết rồi, làm sao lấy lại dc",CARD_ISSUE,seed
"Thẻ atm ko rút dc tiền, toang hết",CARD_ISSUE,seed
"Cái thẻ nó lỗi, ko ăn tiền đâu",CARD_ISSUE,seed
"Lỏm cái mã PIN đi rồi, huhu",CARD_ISSUE,seed
"Thẻ chip bị hỏng, đổi mới dc ko",CARD_ISSUE,seed
"Quên PIN, bực quá ad ơi",CARD_ISSUE,seed
"Thẻ atm k dc, lỗi rút tiền",CARD_ISSUE,seed
Cần hỗ trợ thẻ atm gấp lắm,CARD_ISSUE,seed
"Thẻ bị khóa, mở lại thế nào",CARD_ISSUE,seed
"Thẻ atm ko rút dc, ngỏm quá",CARD_ISSUE,seed
"Mã PIN bị quên, tk lại làm sao",CARD_ISSUE,seed
"Thẻ bị lỗi, alo hỗ trợ vs",CARD_ISSUE,seed
"Thẻ atm ko hoạt động, toang rồi",CARD_ISSUE,seed
"Thẻ bị hư hỏng, đổi mới dc ko ad",CARD_ISSUE,seed
"Thẻ atm lỗi, k dc rút tiền",CARD_ISSUE,seed
"Mã PIN quên, cần hỗ trợ gấp",CARD_ISSUE,seed
"Thẻ atm ko rút dc tiền, bực quá",CARD_ISSUE,seed
"Thẻ bị lỗi, cần hỗ trợ ngay",CARD_ISSUE,seed
"Thẻ atm ko hoạt động, huhu",CARD_ISSUE,seed
"Thẻ bị nuốt rồi, làm gì bây giờ huhu",CARD_ISSUE,seed
"Cái thẻ nó k dc nữa, lỗi hết sức",CARD_ISSUE,seed
"Alo add ơi, tự nhiên thẻ bị ngỏm rồi",CARD_ISSUE,seed
"Thẻ tôi bị hư tại ATM, đổi mới dc không",CARD_ISSUE,seed
"ko biết làm sao, thẻ bị lỗi chip quá",CARD_ISSUE,seed
"Thẻ bị kẹt trong máy ATM, bực quá",CARD_ISSUE,seed
"Add ơi, thẻ tk của mình bị toang rồi",CARD_ISSUE,seed
"Thẻ của tớ bị lỗi, k dc sử dụng",CARD_ISSUE,seed
"Cần đổi thẻ gấp lắm, thẻ bị hỏng",CARD_ISSUE,seed
"Thẻ của mình bị nuốt, làm lại thế nào",CARD_ISSUE,seed
"Thẻ bị lỗi, ko dc quẹt, alo add",CARD_ISSUE,seed
"Thẻ của tớ bị hư, cần hỗ trợ gấp",CARD_ISSUE,seed
"Thẻ bị k dc, lỗi chip, cần đổi",CARD_ISSUE,seed
"Thẻ của mình bị hỏng, ko ăn nữa",CARD_ISSUE,seed
"Add ơi, thẻ của tớ bị lỗi, k dc sử dụng",CARD_ISSUE,seed
"Thẻ bị nuốt tại ATM, bực quá",CARD_ISSUE,seed
"Thẻ của mình bị hỏng, cần hỗ trợ",CARD_ISSUE,seed
"Thẻ bị lỗi, k dc quẹt, cần đổi",CARD_ISSUE,seed
"Thẻ của tớ bị lỗi, cần hỗ trợ",CARD_ISSUE,seed
"Thẻ bị hỏng, ko dc sử dụng, alo",CARD_ISSUE,seed
"Mã PIN quên rồi, làm sao lấy lại dc?",CARD_ISSUE,seed
"Thẻ atm ko rút dc tiền, lỗi ở đâu?",CARD_ISSUE,seed
"Alo add ơi, quên mã pin rồi, huhu",CARD_ISSUE,seed
"Rút tiền ko dc, thẻ bị hư rồi",CARD_ISSUE,seed
"Làm sao lấy lại mã pin, bực quá",CARD_ISSUE,seed
"Thẻ atm lỗi, ko rút dc tiền, tk lại",CARD_ISSUE,seed
"Quên mã pin, gấp lắm, alo ad",CARD_ISSUE,seed
