text,label,type,text_clean,label_id
"Alo, e can ho tro ve viec bi gia mao cong an goi đien",FRAUD_REPORT,aug_2,"Alo, e can ho tro ve viec bi gia mao cong an goi đien",4
"Gap lam, the bi ngom roi",OTHERS,aug_2,"Gap lam, the bi ngom roi",5
Thẻ của tớ bị lỏ k dc sử dụng,CARD_ISSUE,aug_2,Thẻ của tớ bị lỏ k dc sử dụng,0
"tk bị lỗi, ko gửi dc, cần giúp gấp lắm",OTHERS,seed,"tk bị lỗi, ko gửi dc, cần giúp gấp lắm",5
"Faceid ko hoạt động, lỗi toang, need help",APP_LOGIN,seed,"Faceid ko hoạt động, lỗi toang, need help",1
"FaceID bị lỗi, mở app ngân hàng ko dc, cần hỗ trợ",APP_LOGIN,seed,"FaceID bị lỗi, mở app ngân hàng ko dc, cần hỗ trợ",1
"App ngân hàng faceid lỗi, k dc vào",APP_LOGIN,seed,"App ngân hàng faceid lỗi, k dc vào",1
"Alo tổng đài, thẻ atm ko ăn, bị lỗi",OTHERS,seed,"Alo tổng đài, thẻ atm ko ăn, bị lỗi",5
lag gì mà ngân hàng lại ko cho gửi tiết kiệm với lãi suất cao huhu,LOAN_SAVING,aug_2,lag gì mà ngân hàng lại ko cho gửi tiết kiệm với lãi suất cao huhu,3
"Tk atm gan nhat voi to, đang can rut tien vs",OTHERS,aug_1,"Tk atm gan nhat voi to, đang can rut tien vs",5
Thẻ chip bị trầy xước tùm lum ko quẹt dc,CARD_ISSUE,seed,Thẻ chip bị trầy xước tùm lum ko quẹt dc,0
"Giao dich ko dc, the bi loi, buc qua",TRANSACTION,aug_2,"Giao dich ko dc, the bi loi, buc qua",2
"Huhu, vào app ngân hàng bị lỗi, Alo ad ơi giúp vs",APP_LOGIN,seed,"Huhu, vào app ngân hàng bị lỗi, Alo ad ơi giúp vs",1
"Tự nhiên cái chip thẻ nó bong ra rồi, đổi card mới sao?",CARD_ISSUE,aug_1,"Tự nhiên cái chip thẻ nó bong ra rồi, đổi card mới sao?",0
"Sao kê lương 3 tháng gần đây bị lỗi, dc hỗ trợ j?",LOAN_SAVING,seed,"Sao kê lương 3 tháng gần đây bị lỗi, dc hỗ trợ j?",3
"Bị lừa qua mạng, cần hỗ trợ",FRAUD_REPORT,seed,"Bị lừa qua mạng, cần hỗ trợ",4
"Chuyển tiền bị hoàn trả, tk bị khóa, DC giúp",TRANSACTION,seed,"Chuyển tiền bị hoàn trả, tk bị khóa, DC giúp",2
"Gap lam, cho hoi gio lam viec cua chi nhanh ngan hang",OTHERS,aug_1,"Gap lam, cho hoi gio lam viec cua chi nhanh ngan hang",5
Lai suat gui tiet kiem bay gio bao nhieu huhu?,LOAN_SAVING,aug_2,Lai suat gui tiet kiem bay gio bao nhieu huhu?,3
"Nâng hạn mức thẻ tín dụng, alo ad ơi",LOAN_SAVING,seed,"Nâng hạn mức thẻ tín dụng, alo ad ơi",3
"FaceID no toang, can ho tro gap lam ad oi",APP_LOGIN,aug_2,"FaceID no toang, can ho tro gap lam ad oi",1
"Sổ tiết kiệm online của tui bị toang, làm sao để tất toán bây giờ?",LOAN_SAVING,seed,"Sổ tiết kiệm online của tui bị toang, làm sao để tất toán bây giờ?",3
"Lỗi mất thẻ, huhu cần làm lại gấp lắm",OTHERS,seed,"Lỗi mất thẻ, huhu cần làm lại gấp lắm",5
"Nạp tiền bị lỗi, sao vào ko dc",TRANSACTION,seed,"Nạp tiền bị lỗi, sao vào ko dc",2
"Tk bị trừ tiền mà ko biết lý do, add ơi giải thích giùm",OTHERS,seed,"Tk bị trừ tiền mà ko biết lý do, add ơi giải thích giùm",5
"Lỗi nhập sai mk thẻ, bây giờ ko vào dc",CARD_ISSUE,seed,"Lỗi nhập sai mk thẻ, bây giờ ko vào dc",0
"Bi loi, chuyen tien cho nguoi nhan chua vao",TRANSACTION,aug_1,"Bi loi, chuyen tien cho nguoi nhan chua vao",2
"Lỡ nhấn vào link lạ, sợ bị mất lúa quá",FRAUD_REPORT,aug_2,"Lỡ nhấn vào link lạ, sợ bị mất lúa quá",4
Tat toan so tiet kiem online co can giay to ko?,LOAN_SAVING,aug_1,Tat toan so tiet kiem online co can giay to ko?,3
"Tk online ko vào dc, bực quá",OTHERS,seed,"Tk online ko vào dc, bực quá",5
"The tk bi hong, can ho tro gap lam",CARD_ISSUE,aug_2,"The tk bi hong, can ho tro gap lam",0
"Ko dc vào app, cần giúp ad ơi",APP_LOGIN,seed,"Ko dc vào app, cần giúp ad ơi",1
"Tai app ngan hang ve may moi, nhung ko đang nhap dc, huhu",APP_LOGIN,aug_2,"Tai app ngan hang ve may moi, nhung ko đang nhap dc, huhu",1
"Mã OTP bị lỗi, nhập không đc, alo ad",APP_LOGIN,seed,"Mã OTP bị lỗi, nhập không đc, alo ad",1
"Phi giao dich ngan hang cao qua, đoi ngan hang khac dc ko",TRANSACTION,aug_1,"Phi giao dich ngan hang cao qua, đoi ngan hang khac dc ko",2
"Thẻ của mk bị lỗi, ko quẹt dc, cần thay thế",CARD_ISSUE,seed,"Thẻ của mk bị lỗi, ko quẹt dc, cần thay thế",0
Mở email có link lạ sợ toang mất tk,FRAUD_REPORT,seed,Mở email có link lạ sợ toang mất tk,4
"Ngom qua, sao ke luong 3 thang tren app bi loi, lam sao dc?",LOAN_SAVING,aug_2,"Ngom qua, sao ke luong 3 thang tren app bi loi, lam sao dc?",3
"Huhu, thông tin card bị泄露",FRAUD_REPORT,aug_1,"Huhu, thông tin card bị泄露",4
"Giao dịch bị lỗi, mất tiền, xử lý giùm",TRANSACTION,seed,"Giao dịch bị lỗi, mất tiền, xử lý giùm",2
"Mã OTP ko về huhu, làm sao đc?",APP_LOGIN,seed,"Mã OTP ko về huhu, làm sao đc?",1
card tk bị bug cần hỗ trợ gấp lắm ad ơi,CARD_ISSUE,aug_1,card tk bị bug cần hỗ trợ gấp lắm ad ơi,0
bug gì mà mã OTP ko gửi được,APP_LOGIN,aug_2,bug gì mà mã OTP ko gửi được,1
"Thẻ bị hỏng, cần đổi mới gấp lắm",TRANSACTION,seed,"Thẻ bị hỏng, cần đổi mới gấp lắm",2
"FaceID lỗi trựm quá, ko vào dc app",APP_LOGIN,seed,"FaceID lỗi trựm quá, ko vào dc app",1
"Sao kê lương online có dc ko, ad ơi?",LOAN_SAVING,aug_1,"Sao kê lương online có dc ko, ad ơi?",3
Thẻ mới làm chưa thấy đâu,CARD_ISSUE,seed,Thẻ mới làm chưa thấy đâu,0
"Tk bị ngỏm, k dc chuyển tiền",TRANSACTION,seed,"Tk bị ngỏm, k dc chuyển tiền",2
Lãi suất gửi tiết kiệm hiện tại là bao nhiêu hả ad?,LOAN_SAVING,seed,Lãi suất gửi tiết kiệm hiện tại là bao nhiêu hả ad?,3
"FaceID no loi, k dc mo app, buc qua",APP_LOGIN,aug_2,"FaceID no loi, k dc mo app, buc qua",1
Gui tiet kiem co lai suat cao hon gui tien tiet kiem ko?,LOAN_SAVING,aug_1,Gui tiet kiem co lai suat cao hon gui tien tiet kiem ko?,3
"Tk tiet kiem cua tui ko xem dc lich su giao dich, hu a?",LOAN_SAVING,aug_2,"Tk tiet kiem cua tui ko xem dc lich su giao dich, hu a?",3
"Tự_nhiên_chip_thẻ_bị_bong_ra_rồi,phải_làm_sao_ad?",CARD_ISSUE,seed,"Tự_nhiên_chip_thẻ_bị_bong_ra_rồi,phải_làm_sao_ad?",0
Nói mình là nhân viên ngân hàng nhưng ko dc,FRAUD_REPORT,seed,Nói mình là nhân viên ngân hàng nhưng ko dc,4
"Giao dịch online bị lỗi, toang quá",TRANSACTION,seed,"Giao dịch online bị lỗi, toang quá",2
"Lỗi thẻ, cần hỗ trợ ngay",CARD_ISSUE,seed,"Lỗi thẻ, cần hỗ trợ ngay",0
"Buc qua, vay tin chap qua luong bi loi!",LOAN_SAVING,aug_1,"Buc qua, vay tin chap qua luong bi loi!",3
"Huhu, card bị hư, cần đổi mới",OTHERS,aug_1,"Huhu, card bị hư, cần đổi mới",5
Lỡ ấn vào link lạ sợ mất tiền quá alo ad ơi,FRAUD_REPORT,seed,Lỡ ấn vào link lạ sợ mất tiền quá alo ad ơi,4
"card atm bị khóa, nhập sai, huhu",CARD_ISSUE,aug_2,"card atm bị khóa, nhập sai, huhu",0
"Gấp, cần biết tỷ giá đô la ngay lập tức",OTHERS,seed,"Gấp, cần biết tỷ giá đô la ngay lập tức",5
"Tự nhiên app ngân hàng nó toang rồi, 修 lại cho tôi dc không?",APP_LOGIN,seed,"Tự nhiên app ngân hàng nó toang rồi, 修 lại cho tôi dc không?",1
"Loi ho so, can sua lai nhung gi?",LOAN_SAVING,aug_2,"Loi ho so, can sua lai nhung gi?",3
Bị bug khi chuyển money k dc xử lý,TRANSACTION,aug_2,Bị bug khi chuyển money k dc xử lý,2
"Toang, sao chuyen tien mai ko vao",TRANSACTION,aug_1,"Toang, sao chuyen tien mai ko vao",2
"The bi loi ky thuat, can giup",CARD_ISSUE,aug_1,"The bi loi ky thuat, can giup",0
"Thẻ tk bị khóa, nhập sai mật khẩu, ko dc",CARD_ISSUE,seed,"Thẻ tk bị khóa, nhập sai mật khẩu, ko dc",0
"Thẻ bị hư hỏng, gửi lại cho mình nhé",CARD_ISSUE,seed,"Thẻ bị hư hỏng, gửi lại cho mình nhé",0
Luong huu co vay tin chap dc khong?,LOAN_SAVING,aug_1,Luong huu co vay tin chap dc khong?,3
"ko biet lam sao, the bi loi chip qua",CARD_ISSUE,aug_1,"ko biet lam sao, the bi loi chip qua",0
"Tk bị khóa, k dc truy cập, toang rồi",APP_LOGIN,seed,"Tk bị khóa, k dc truy cập, toang rồi",1
"Chuyển tiền qua ngân hàng, tỷ giá đô la ăn thua j?",OTHERS,seed,"Chuyển tiền qua ngân hàng, tỷ giá đô la ăn thua j?",5
Tk luong chuyen khoan qua ngan hang dc ho tro vay ko?,LOAN_SAVING,aug_1,Tk luong chuyen khoan qua ngan hang dc ho tro vay ko?,3
Đanh cap tk ngan hang dc xu ly the nao,FRAUD_REPORT,aug_1,Đanh cap tk ngan hang dc xu ly the nao,4
"Sao ke luong bi loi, buc qua, lam lai tu đau",LOAN_SAVING,aug_1,"Sao ke luong bi loi, buc qua, lam lai tu đau",3
card bị bug cần đổi mới gấp lắm ạ,OTHERS,aug_1,card bị bug cần đổi mới gấp lắm ạ,5
"Ngom qua, sao lai mat tien",FRAUD_REPORT,aug_1,"Ngom qua, sao lai mat tien",4
"Thẻ bị k dc, bug chip, cần đổi",CARD_ISSUE,aug_1,"Thẻ bị k dc, bug chip, cần đổi",0
"FaceID loi huhu, ko đang nhap dc",APP_LOGIN,aug_1,"FaceID loi huhu, ko đang nhap dc",1
"Thẻ bị nuốt rồi, làm gì bây giờ",CARD_ISSUE,seed,"Thẻ bị nuốt rồi, làm gì bây giờ",0
"Thẻ bị hư không sử dụng dc, gửi lại cho e nhé",CARD_ISSUE,seed,"Thẻ bị hư không sử dụng dc, gửi lại cho e nhé",0
"FaceID trên app bị lỗi, cần hỗ trợ vs",APP_LOGIN,seed,"FaceID trên app bị lỗi, cần hỗ trợ vs",1
"Thẻ atm bị toang, ko rút dc tiền, vs",CARD_ISSUE,seed,"Thẻ atm bị toang, ko rút dc tiền, vs",0
Goi đien noi tao trung thuong nhung ko dc nhan,FRAUD_REPORT,aug_1,Goi đien noi tao trung thuong nhung ko dc nhan,4
Vay tín chấp có cần tài sản đảm bảo hong,LOAN_SAVING,aug_1,Vay tín chấp có cần tài sản đảm bảo hong,3
"The atm bi loi, sao vao ko dc",TRANSACTION,aug_1,"The atm bi loi, sao vao ko dc",2
"FaceID ko dc, mo app no loi hoai",APP_LOGIN,aug_1,"FaceID ko dc, mo app no loi hoai",1
"Alo, app ngân hàng lỗi faceid, fix giúp vs",APP_LOGIN,seed,"Alo, app ngân hàng lỗi faceid, fix giúp vs",1
"The atm khong hoat đong, can giup vs",OTHERS,aug_2,"The atm khong hoat đong, can giup vs",5
Thẻ bị khóa vì nhập nhầm quá nhiều lần huhu,CARD_ISSUE,seed,Thẻ bị khóa vì nhập nhầm quá nhiều lần huhu,0
"Gấp lắm, tk bị hack mất tiền",FRAUD_REPORT,seed,"Gấp lắm, tk bị hack mất tiền",4
Thẻ_ko_dc_rút_tiền_tự_nhiên_bị_lỗi_chip,CARD_ISSUE,seed,Thẻ_ko_dc_rút_tiền_tự_nhiên_bị_lỗi_chip,0
"Gấp lắm, cần hỗ trợ thẻ lỗi",OTHERS,seed,"Gấp lắm, cần hỗ trợ thẻ lỗi",5
"Chuyen tien cho chi chua vao, kiem tra giup ad",TRANSACTION,aug_1,"Chuyen tien cho chi chua vao, kiem tra giup ad",2
"Mã OTP hong về huhu, hỗ trợ vs",APP_LOGIN,aug_2,"Mã OTP hong về huhu, hỗ trợ vs",1
"Alo ơi, thẻ tk của tớ k dc giao dịch",OTHERS,seed,"Alo ơi, thẻ tk của tớ k dc giao dịch",5
"The atm ko an, loi chip hay sao?",CARD_ISSUE,aug_1,"The atm ko an, loi chip hay sao?",0
"Thẻ tín dụng của tui bị lỗi, cần hỗ trợ để sửa chữa",FRAUD_REPORT,seed,"Thẻ tín dụng của tui bị lỗi, cần hỗ trợ để sửa chữa",4
"Gấp lắm, cần biết giờ làm việc chi nhánh Techcombank",OTHERS,seed,"Gấp lắm, cần biết giờ làm việc chi nhánh Techcombank",5
Hôm qua có thằng giả công an gọi điện cho e huhu,FRAUD_REPORT,seed,Hôm qua có thằng giả công an gọi điện cho e huhu,4
"Bị lừa đảo qua link lạ, cần hỗ trợ ngay",FRAUD_REPORT,seed,"Bị lừa đảo qua link lạ, cần hỗ trợ ngay",4
"The tin dung bi lo, can lam gi?",FRAUD_REPORT,aug_1,"The tin dung bi lo, can lam gi?",4
"Tk bị hack, sợ mất tiền, dc giúp không?",FRAUD_REPORT,seed,"Tk bị hack, sợ mất tiền, dc giúp không?",4
"Sao ke luong bi ngom, ra ngan hang moi dc",LOAN_SAVING,aug_1,"Sao ke luong bi ngom, ra ngan hang moi dc",3
"card tk bị bong tróc, k dc sử dụng",CARD_ISSUE,aug_2,"card tk bị bong tróc, k dc sử dụng",0
"Thẻ tín dụng bị trầy xước, ko quẹt dc",FRAUD_REPORT,seed,"Thẻ tín dụng bị trầy xước, ko quẹt dc",4
"Giao dịch bị lỗi, mất tiền, alo ad ơi",TRANSACTION,seed,"Giao dịch bị lỗi, mất tiền, alo ad ơi",2
"card chip bị bong, làm sao sử dụng",CARD_ISSUE,aug_1,"card chip bị bong, làm sao sử dụng",0
Lỗi card ko dc rút tiền alo ad ơi,OTHERS,aug_1,Lỗi card ko dc rút tiền alo ad ơi,5
"gấp lắm, tk bị ko hoạt động, ad ơi giúp vs",OTHERS,seed,"gấp lắm, tk bị ko hoạt động, ad ơi giúp vs",5
"Lãi suất tiết kiệm cao nhất hiện tại là bao nhiêu, bực quá",LOAN_SAVING,seed,"Lãi suất tiết kiệm cao nhất hiện tại là bao nhiêu, bực quá",3
"Thẻ của tớ bị lỗi, cần thay thế gấp lắm",CARD_ISSUE,seed,"Thẻ của tớ bị lỗi, cần thay thế gấp lắm",0
"FaceID bug quá, ko đăng nhập được add ơi",APP_LOGIN,aug_1,"FaceID bug quá, ko đăng nhập được add ơi",1
"Thẻ bị trầy xước, ko quẹt dc",OTHERS,seed,"Thẻ bị trầy xước, ko quẹt dc",5
"Hôm qua có thằng giả công an gọi điện cho tớ, k dc",FRAUD_REPORT,seed,"Hôm qua có thằng giả công an gọi điện cho tớ, k dc",4
Lam sao biet dc link gia mao đe tranh,FRAUD_REPORT,aug_1,Lam sao biet dc link gia mao đe tranh,4
"Thẻ bị lỗi, cần fix ngay huhu",OTHERS,seed,"Thẻ bị lỗi, cần fix ngay huhu",5
Sao chuyển money hôm qua mà chưa đến,TRANSACTION,aug_1,Sao chuyển money hôm qua mà chưa đến,2
Lương chuyển khoản qua ngân hàng khác dc không?,LOAN_SAVING,seed,Lương chuyển khoản qua ngân hàng khác dc không?,3
Gấp lắm mà không vào dc napas 24/7,TRANSACTION,seed,Gấp lắm mà không vào dc napas 24 7,2
"FaceID lỗi hết, đăng nhập ko đc add ơi",APP_LOGIN,aug_1,"FaceID lỗi hết, đăng nhập ko đc add ơi",1
"Tk bị ngỏm, k dc chuyển lúa",TRANSACTION,aug_1,"Tk bị ngỏm, k dc chuyển lúa",2
"K dc roi, bi gia mao goi đien lien tuc",FRAUD_REPORT,aug_1,"K dc roi, bi gia mao goi đien lien tuc",4
"Alo ad ơi, chuyển tiền cho tk người thân mà lỏ chưa vào",TRANSACTION,aug_2,"Alo ad ơi, chuyển tiền cho tk người thân mà lỏ chưa vào",2
"Bị lỗi, chuyển money cho người nhận chưa vào",TRANSACTION,aug_2,"Bị lỗi, chuyển money cho người nhận chưa vào",2
"Gửi mã OTP mãi ko đến, bực quá",APP_LOGIN,seed,"Gửi mã OTP mãi ko đến, bực quá",1
Lỗi gì mà ko nhận đc mã OTP huhu,APP_LOGIN,seed,Lỗi gì mà ko nhận đc mã OTP huhu,1
"Thẻ mất, cần làm lại thẻ mới nhanh",OTHERS,seed,"Thẻ mất, cần làm lại thẻ mới nhanh",5
"card bị hỏng, cần hỗ trợ đổi thẻ mới",TRANSACTION,aug_2,"card bị hỏng, cần hỗ trợ đổi thẻ mới",2
"The bi khoa, nhap sai mk, dc ho tro ko",CARD_ISSUE,aug_2,"The bi khoa, nhap sai mk, dc ho tro ko",0
"Thẻ bị hư hỏng, cần giúp đỡ",TRANSACTION,seed,"Thẻ bị hư hỏng, cần giúp đỡ",2
"Tk của người nhận bị khóa, chuyển tiền ko vô, cần mở khóa",TRANSACTION,seed,"Tk của người nhận bị khóa, chuyển tiền ko vô, cần mở khóa",2
"Thẻ bị lỗi, ko dc sử dụng, add ơi",OTHERS,seed,"Thẻ bị lỗi, ko dc sử dụng, add ơi",5
"Loi chip, chuyen tien cho anh chua vao",TRANSACTION,aug_1,"Loi chip, chuyen tien cho anh chua vao",2
"Sao kê lương 3 tháng bị lỗi, toang, dc ko",LOAN_SAVING,seed,"Sao kê lương 3 tháng bị lỗi, toang, dc ko",3
"Hư quá, chuyển lúa 2 ngày rồi còn ko vào",TRANSACTION,aug_2,"Hư quá, chuyển lúa 2 ngày rồi còn ko vào",2
"Dịch vụ bảo hiểm gọi hàng ngày, tôi bực quá, cần hỗ trợ",OTHERS,seed,"Dịch vụ bảo hiểm gọi hàng ngày, tôi bực quá, cần hỗ trợ",5
"Tk bị bug khóa tk rồi, làm sao mở lại?",APP_LOGIN,aug_1,"Tk bị bug khóa tk rồi, làm sao mở lại?",1
Lỗi gì mà ngân hàng lại ko cho gửi tiết kiệm với lãi suất cao huhu,LOAN_SAVING,seed,Lỗi gì mà ngân hàng lại ko cho gửi tiết kiệm với lãi suất cao huhu,3
"The bi lock, ko rut dc tien",FRAUD_REPORT,aug_1,"The bi lock, ko rut dc tien",4
"Alo, hỗ trợ khoản vay qua lương ra sao?",LOAN_SAVING,seed,"Alo, hỗ trợ khoản vay qua lương ra sao?",3
"Tỷ giá đô la úc hôm nay lên xuống thế nào, ad hỗ trợ mình",OTHERS,seed,"Tỷ giá đô la úc hôm nay lên xuống thế nào, ad hỗ trợ mình",5
"App ngan hang FaceID bi ngom, can giup",APP_LOGIN,aug_1,"App ngan hang FaceID bi ngom, can giup",1
"Huhu, vừa mất card tín dụng, bực quá!",FRAUD_REPORT,aug_1,"Huhu, vừa mất card tín dụng, bực quá!",4
"Alo, the bi loi, can ho tro",OTHERS,aug_2,"Alo, the bi loi, can ho tro",5
"The tin dung cua tui bi loi, can ho tro đe sua chua",FRAUD_REPORT,aug_1,"The tin dung cua tui bi loi, can ho tro đe sua chua",4
"Add oi, chuyen nham so tk",TRANSACTION,aug_1,"Add oi, chuyen nham so tk",2
"The chua ve, add minh can lam j đe nhan the",CARD_ISSUE,aug_2,"The chua ve, add minh can lam j đe nhan the",0
"Alo ad ơi, sao chuyển tiền ko thành công",TRANSACTION,seed,"Alo ad ơi, sao chuyển tiền ko thành công",2
"Tìm atm gần nhà dc ko ad, card atm tớ bị hư",OTHERS,aug_1,"Tìm atm gần nhà dc ko ad, card atm tớ bị hư",5
"Đoi đien thoai moi,登 nhap app ngan hang lai the nao?",APP_LOGIN,aug_1,"Đoi đien thoai moi,登 nhap app ngan hang lai the nao?",1
"Ma PIN bi quen, tk lai lam sao",CARD_ISSUE,aug_2,"Ma PIN bi quen, tk lai lam sao",0
Tk online bị bug ko đăng nhập,OTHERS,aug_1,Tk online bị bug ko đăng nhập,5
"Add ơi, e chuyển tiền nhưng người nhận báo chưa có tiền, k dc",TRANSACTION,seed,"Add ơi, e chuyển tiền nhưng người nhận báo chưa có tiền, k dc",2
"Alo ad ơi, sao thẻ Visa ko swipe dc",OTHERS,seed,"Alo ad ơi, sao thẻ Visa ko swipe dc",5
"Alo, card bị lỗi, cần thay thế nhanh",CARD_ISSUE,aug_2,"Alo, card bị lỗi, cần thay thế nhanh",0
"Tk cua em ko vao đc, loi OTP, can ho tro",APP_LOGIN,aug_2,"Tk cua em ko vao đc, loi OTP, can ho tro",1
"Sợ mất tiền vì ấn vào link lạ, k dc",FRAUD_REPORT,seed,"Sợ mất tiền vì ấn vào link lạ, k dc",4
